0.265    10000
0.280    10000
0.294    10000
0.307    10000
0.325    10000
0.340    10000
0.361    10000
0.381    10000
0.397    10000
0.410    10000
0.424    10000
0.437    10000
0.451    10000
0.466    10000
0.483    10000
0.496    10000
0.513    10000
0.528    10000
0.542    10000
0.557    10000
0.572    10000
0.588    10000
0.599    10000
0.619    10000
0.633    10000
0.650    10000
0.669    10000
0.683    10000
0.698    10000
0.714    10000
0.726    10000
0.744    10000
0.759    10000
0.775    10000
0.793    10000
0.808    10000
0.824    10000
0.842    10000
0.855    10000
0.873    10000
0.886    10000
0.897    10000
0.913    10000
