#"Step","Potential Energy (kJ/mole)","Temperature (K)"
96,0.0,132.41623616
97,0.0,129.654491938
98,0.0,119.878998745
99,0.0,118.440675641
100,0.0,143.96486135
101,0.0,152.931629409
102,0.0,170.90962028
103,0.0,167.956821076
104,0.0,142.331800029
105,0.0,149.94554958
106,0.0,145.643106944
107,0.0,137.190649472
108,0.0,141.264444248
109,0.0,122.566491072
110,0.0,115.27772856
111,0.0,117.699741417
112,0.0,128.039619716
113,0.0,134.121769985
114,0.0,111.695884048
115,0.0,93.4537146771
116,0.0,108.177657103
117,0.0,92.5795641368
118,0.0,102.647696476
119,0.0,119.279918655
120,0.0,129.502386865
121,0.0,113.298939511
122,0.0,156.811864877
123,0.0,157.341609187
124,0.0,151.981347602
125,0.0,169.363653248
126,0.0,146.329534088
127,0.0,167.123153321
128,0.0,158.722040642
129,0.0,148.295816003
130,0.0,140.003778317
131,0.0,106.088837384
132,0.0,72.6646286003
133,0.0,83.6026648606
134,0.0,84.7267544159
135,0.0,85.4128234112
136,0.0,82.3202235424
137,0.0,77.8706516628
138,0.0,85.4599554638
139,0.0,78.8224562737
140,0.0,74.5019188642
141,0.0,71.6415834105
142,0.0,64.7106549423
143,0.0,84.848558115
144,0.0,74.8649646557
145,0.0,82.5627172613
146,0.0,73.6924521416
147,0.0,60.5587069694
148,0.0,67.8627534371
149,0.0,76.1410570325
150,0.0,87.3777803349
151,0.0,93.2584180623
152,0.0,92.7680441686
153,0.0,111.031760686
154,0.0,105.786655464
155,0.0,124.589489414
156,0.0,148.59704362
157,0.0,156.065831071
158,0.0,156.099545774
159,0.0,159.335364843
160,0.0,174.11147763
161,0.0,143.864400783
162,0.0,181.325765394
163,0.0,183.231542679
164,0.0,162.220155518
165,0.0,150.655975921
166,0.0,144.738781741
167,0.0,144.822216011
168,0.0,124.90921154
169,0.0,128.240310554
170,0.0,154.164868789
171,0.0,142.840037872
172,0.0,131.506429998
173,0.0,135.77683049
174,0.0,141.370802661
175,0.0,134.477997204
176,0.0,120.926083733
177,0.0,135.048168052
178,0.0,120.148317907
179,0.0,127.35276798
180,0.0,125.901424869
181,0.0,122.00785883
182,0.0,129.079715845
183,0.0,141.705138982
184,0.0,149.158058282
185,0.0,142.729487202
186,0.0,133.19187809
187,0.0,137.296276059
188,0.0,141.830279325
189,0.0,150.146078063
190,0.0,128.394515467
191,0.0,128.216015492
192,0.0,141.290652212
193,0.0,124.507722228
194,0.0,116.188838917
195,0.0,119.734293385
196,0.0,136.324095716
197,0.0,122.61645839
198,0.0,121.688942921
199,0.0,125.223695569
200,0.0,124.716123705
201,0.0,140.125619988
202,0.0,145.609040051
203,0.0,130.041064422
204,0.0,114.891377018
205,0.0,109.79993481
206,0.0,96.0649166648
207,0.0,93.6430007327
208,0.0,75.2316837816
209,0.0,79.5754236028
210,0.0,77.9664290331
211,0.0,91.5273321695
212,0.0,94.8075725185
213,0.0,102.806093514
214,0.0,96.8367033076
215,0.0,107.515366859
216,0.0,101.253115265
217,0.0,109.96622569
218,0.0,115.867947811
