#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
119,-444.765038948,10.8783902505,-433.886648697,436.122688005
120,-445.440714495,11.7352763935,-433.705438101,470.475885434
121,-446.166616948,12.2967857518,-433.869831196,492.987209726
122,-446.957650374,13.4415335162,-433.516116858,538.880991857
123,-447.824061695,14.9800781959,-432.843983499,600.562382751
124,-448.73664333,15.2477424242,-433.488900906,611.293239068
125,-449.713989501,16.3235168075,-433.390472693,654.421827482
126,-450.756170518,17.2195640526,-433.536606465,690.345022377
127,-451.893337909,19.1652855706,-432.728052338,768.350433014
128,-453.102309008,20.2956652475,-432.806643761,813.668187919
129,-454.381309703,21.1482420644,-433.233067639,847.848621288
130,-455.728805734,21.364363508,-434.364442226,856.513089354
131,-457.221327035,23.9960950524,-433.225231982,962.021147884
132,-458.805420592,25.2490048292,-433.556415762,1012.25122486
133,-460.478757667,25.9869500583,-434.491807609,1041.83599334
134,-462.228819761,26.5075062478,-435.721313513,1062.70547488
135,-464.078851474,27.1486228492,-436.930228625,1088.40831226
136,-466.077561032,29.2411546249,-436.836406407,1172.2994544
137,-468.235309657,31.2104692262,-437.024840431,1251.25072914
138,-470.51144891,32.0482371245,-438.463211785,1284.83746205
139,-472.923749653,33.1541901673,-439.769559486,1329.17593518
140,-475.576036251,36.4481359507,-439.1279003,1461.23265093
141,-478.4269399,38.2812159869,-440.145723913,1534.72218149
142,-481.512476567,40.9844655621,-440.528011005,1643.09745062
143,-485.007312119,47.5989738111,-437.408338308,1908.27796455
144,-488.822119727,51.1076696972,-437.71445003,2048.94417031
145,-493.033515579,55.9108261014,-437.122689478,2241.5062529
146,-497.660794056,60.5400366055,-437.12075745,2427.09471607
147,-502.821367527,67.0781512175,-435.74321631,2689.21255276
148,-508.491227793,71.4301625121,-437.061065281,2863.68789519
149,-514.858576994,79.6831177787,-435.175459215,3194.55495842
150,-522.115113906,90.2230192921,-431.892094613,3617.10738332
